Species X,Species Y,Species Z
0.989997068,1.000401789,0.999901609
0.980092427,1.000700195,0.999706808
0.970287084,1.00089614,0.999416599
0.96058196,1.00099059,0.999032018
0.950977885,1.000984553,0.998554139
0.941475608,1.000879074,0.997984067
0.932075793,1.000675237,0.997322937
0.922779027,1.000374161,0.996571914
0.913585818,0.999977,0.99573219
0.904496596,0.999484937,0.994804983
0.895511722,0.998899186,0.993791535
0.886631484,0.998220989,0.992693109
0.877856101,0.997451613,0.99151099
0.869185727,0.996592352,0.990246479
0.860620453,0.99564452,0.988900898
0.852160305,0.994609451,0.987475582
0.843805254,0.993488501,0.985971881
0.835555211,0.992283042,0.984391156
0.827410034,0.99099446,0.982734782
0.819369527,0.989624158,0.98100414
0.811433446,0.98817355,0.979200623
0.803601497,0.986644061,0.977325629
0.795873342,0.985037125,0.97538056
0.788248597,0.983354186,0.973366825
0.780726839,0.981596693,0.971285834
0.773307604,0.979766102,0.969139001
0.76599039,0.97786387,0.966927738
0.75877466,0.975891461,0.964653459
0.751659843,0.973850336,0.962317576
0.744645339,0.971741961,0.959921496
0.737730513,0.969567797,0.957466626
0.730914706,0.967329307,0.954954366
0.72419723,0.965027947,0.952386113
0.717577375,0.962665173,0.949763256
0.711054406,0.960242434,0.947087176
0.704627567,0.957761173,0.94435925
0.698296081,0.955222827,0.941580842
0.692059155,0.952628826,0.93875331
0.685915976,0.949980592,0.935878
0.67986572,0.947279535,0.93295625
0.673907543,0.944527059,0.929989383
0.668040592,0.941724555,0.926978714
0.662264002,0.938873404,0.923925543
0.656576897,0.935974976,0.92083116
0.650978391,0.933030628,0.917696839
0.64546759,0.930041703,0.914523842
0.640043594,0.927009532,0.911313417
0.634705497,0.923935433,0.908066798
0.629452387,0.92082071,0.904785202
0.624283348,0.917666649,0.901469833
0.619197461,0.914474525,0.89812188
0.614193804,0.911245597,0.894742515
0.609271455,0.907981107,0.891332895
0.60442949,0.904682281,0.887894162
0.599666986,0.901350332,0.884427439
0.594983019,0.897986452,0.880933835
0.590376668,0.894591821,0.877414443
0.585847013,0.8911676,0.873870337
0.581393138,0.887714932,0.870302575
0.577014128,0.884234946,0.866712201
0.572709073,0.880728751,0.863100238
0.568477069,0.877197441,0.859467696
0.564317213,0.873642091,0.855815564
0.56022861,0.87006376,0.852144818
0.55621037,0.866463489,0.848456415
0.552261608,0.862842301,0.844751295
0.548381446,0.859201202,0.841030381
0.544569013,0.855541181,0.837294582
0.540823446,0.85186321,0.833544786
0.537143886,0.848168243,0.829781867
0.533529486,0.844457215,0.826006681
0.529979403,0.840731047,0.822220069
0.526492805,0.836990641,0.818422855
0.523068867,0.833236882,0.814615846
0.519706771,0.829470639,0.810799832
0.516405712,0.825692761,0.80697559
0.513164889,0.821904085,0.803143879
0.509983514,0.818105428,0.799305441
0.506860806,0.81429759,0.795461004
0.503795993,0.810481358,0.791611281
0.500788314,0.806657499,0.787756968
0.497837016,0.802826767,0.783898747
0.494941357,0.798989897,0.780037284
0.492100604,0.795147611,0.776173231
